날짜,회차,좌우,줄수,홀짝
2025-05-07,215,LEFT,4,ODD
2025-05-07,216,RIGHT,4,EVEN
2025-05-07,217,LEFT,3,EVEN
2025-05-07,218,RIGHT,4,EVEN
2025-05-07,219,LEFT,4,ODD
2025-05-07,220,LEFT,4,ODD
2025-05-07,221,LEFT,4,ODD
2025-05-07,222,RIGHT,3,ODD
2025-05-07,223,RIGHT,3,ODD
2025-05-07,224,RIGHT,4,EVEN
2025-05-07,225,RIGHT,3,ODD
2025-05-07,226,RIGHT,3,ODD
2025-05-07,227,LEFT,4,ODD
2025-05-07,229,RIGHT,4,EVEN
2025-05-07,230,LEFT,3,EVEN
2025-05-07,231,LEFT,4,ODD
2025-05-07,232,LEFT,3,EVEN
2025-05-07,233,LEFT,3,EVEN
2025-05-07,234,LEFT,3,EVEN
2025-05-07,235,RIGHT,3,ODD
2025-05-07,236,LEFT,4,ODD
2025-05-07,237,LEFT,3,EVEN
2025-05-07,238,LEFT,3,EVEN
2025-05-07,239,RIGHT,3,ODD
2025-05-07,240,LEFT,4,ODD
2025-05-07,241,LEFT,3,EVEN
2025-05-07,242,LEFT,4,ODD
2025-05-07,243,LEFT,4,ODD
2025-05-07,244,LEFT,3,EVEN
2025-05-07,245,LEFT,3,EVEN
2025-05-07,246,RIGHT,3,ODD
2025-05-07,247,LEFT,4,ODD
2025-05-07,248,RIGHT,3,ODD
2025-05-07,249,RIGHT,4,EVEN
2025-05-07,250,LEFT,4,ODD
2025-05-07,251,RIGHT,3,ODD
2025-05-07,252,LEFT,4,ODD
2025-05-07,253,LEFT,3,EVEN
2025-05-07,254,RIGHT,4,EVEN
2025-05-07,255,RIGHT,4,EVEN
2025-05-07,257,RIGHT,3,ODD
2025-05-07,258,LEFT,3,EVEN
2025-05-07,259,RIGHT,4,EVEN
2025-05-07,260,RIGHT,4,EVEN
2025-05-07,261,RIGHT,3,ODD
2025-05-07,262,LEFT,4,ODD
2025-05-07,263,RIGHT,4,EVEN
2025-05-07,264,LEFT,4,ODD
2025-05-07,265,RIGHT,4,EVEN
2025-05-07,266,RIGHT,4,EVEN
2025-05-07,267,RIGHT,4,EVEN
2025-05-07,268,RIGHT,3,ODD
2025-05-07,269,RIGHT,3,ODD
2025-05-07,270,RIGHT,4,EVEN
2025-05-07,271,LEFT,3,EVEN
2025-05-07,272,RIGHT,4,EVEN
2025-05-07,273,RIGHT,3,ODD
2025-05-07,274,RIGHT,3,ODD
2025-05-07,275,LEFT,3,EVEN
2025-05-07,276,LEFT,3,EVEN
2025-05-07,277,LEFT,3,EVEN
2025-05-07,278,RIGHT,3,ODD
2025-05-07,279,RIGHT,3,ODD
2025-05-07,280,LEFT,3,EVEN
2025-05-07,281,LEFT,3,EVEN
2025-05-07,283,LEFT,4,ODD
2025-05-07,284,RIGHT,3,ODD
2025-05-07,285,RIGHT,4,EVEN
2025-05-07,286,RIGHT,4,EVEN
2025-05-07,287,LEFT,4,ODD
2025-05-07,288,RIGHT,3,ODD
2025-05-08,1,RIGHT,3,ODD
2025-05-08,2,RIGHT,4,EVEN
2025-05-08,3,LEFT,4,ODD
2025-05-08,4,RIGHT,3,ODD
2025-05-08,5,LEFT,3,EVEN
2025-05-08,6,RIGHT,4,EVEN
2025-05-08,7,LEFT,4,ODD
2025-05-08,8,LEFT,4,ODD
2025-05-08,9,LEFT,3,EVEN
2025-05-08,10,RIGHT,4,EVEN
2025-05-08,11,RIGHT,4,EVEN
2025-05-08,12,LEFT,3,EVEN
2025-05-08,13,LEFT,3,EVEN
2025-05-08,14,LEFT,3,EVEN
2025-05-08,15,RIGHT,3,ODD
2025-05-08,16,RIGHT,3,ODD
2025-05-08,17,LEFT,4,ODD
2025-05-08,18,LEFT,3,EVEN
2025-05-08,19,RIGHT,4,EVEN
2025-05-08,21,RIGHT,4,EVEN
2025-05-08,22,LEFT,3,EVEN
2025-05-08,23,RIGHT,4,EVEN
2025-05-08,24,RIGHT,3,ODD
2025-05-08,25,LEFT,3,EVEN
2025-05-08,26,LEFT,4,ODD
2025-05-08,27,RIGHT,4,EVEN
2025-05-08,28,RIGHT,3,ODD
2025-05-08,29,LEFT,4,ODD
2025-05-08,30,LEFT,4,ODD
2025-05-08,31,LEFT,3,EVEN
2025-05-08,32,LEFT,4,ODD
2025-05-08,33,RIGHT,4,EVEN
2025-05-08,34,LEFT,4,ODD
2025-05-08,35,LEFT,3,EVEN
2025-05-08,36,LEFT,4,ODD
2025-05-08,37,RIGHT,4,EVEN
2025-05-08,38,LEFT,3,EVEN
2025-05-08,39,LEFT,3,EVEN
2025-05-08,40,RIGHT,4,EVEN
2025-05-08,41,LEFT,3,EVEN
2025-05-08,42,LEFT,3,EVEN
2025-05-08,43,LEFT,4,ODD
2025-05-08,45,LEFT,4,ODD
2025-05-08,46,LEFT,4,ODD
2025-05-08,47,LEFT,4,ODD
2025-05-08,48,RIGHT,3,ODD
2025-05-08,49,RIGHT,3,ODD
2025-05-08,50,LEFT,3,EVEN
2025-05-08,51,RIGHT,3,ODD
2025-05-08,52,RIGHT,3,ODD
2025-05-08,53,LEFT,3,EVEN
2025-05-08,54,LEFT,3,EVEN
2025-05-08,55,LEFT,3,EVEN
2025-05-08,56,RIGHT,3,ODD
2025-05-08,57,RIGHT,3,ODD
2025-05-08,58,RIGHT,4,EVEN
2025-05-08,59,RIGHT,3,ODD
2025-05-08,60,RIGHT,4,EVEN
2025-05-08,61,RIGHT,3,ODD
2025-05-08,62,RIGHT,3,ODD
2025-05-08,63,RIGHT,3,ODD
2025-05-08,64,RIGHT,4,EVEN
2025-05-08,65,RIGHT,3,ODD
2025-05-08,66,RIGHT,3,ODD
2025-05-08,67,LEFT,3,EVEN
2025-05-08,68,RIGHT,3,ODD
2025-05-08,69,LEFT,4,ODD
2025-05-08,70,LEFT,3,EVEN
2025-05-08,72,RIGHT,3,ODD
2025-05-08,73,LEFT,4,ODD
2025-05-08,74,RIGHT,3,ODD
2025-05-08,75,RIGHT,4,EVEN
2025-05-08,76,LEFT,3,EVEN
2025-05-08,77,RIGHT,3,ODD
2025-05-08,78,LEFT,4,ODD
2025-05-08,79,LEFT,4,ODD
2025-05-08,80,LEFT,3,EVEN
2025-05-08,81,LEFT,3,EVEN
2025-05-08,82,RIGHT,4,EVEN
2025-05-08,83,RIGHT,4,EVEN
2025-05-08,84,RIGHT,3,ODD
2025-05-08,85,RIGHT,4,EVEN
2025-05-08,86,LEFT,4,ODD
2025-05-08,87,RIGHT,3,ODD
2025-05-08,88,RIGHT,4,EVEN
2025-05-08,89,RIGHT,3,ODD
2025-05-08,90,RIGHT,4,EVEN
2025-05-08,91,RIGHT,3,ODD
2025-05-08,92,RIGHT,4,EVEN
2025-05-08,93,LEFT,4,ODD
2025-05-08,94,LEFT,4,ODD
2025-05-08,95,RIGHT,3,ODD
2025-05-08,97,RIGHT,4,EVEN
2025-05-08,98,LEFT,3,EVEN
2025-05-08,99,LEFT,4,ODD
2025-05-08,100,LEFT,3,EVEN
2025-05-08,101,LEFT,4,ODD
2025-05-08,102,LEFT,3,EVEN
2025-05-08,103,LEFT,4,ODD
2025-05-08,104,LEFT,4,ODD
2025-05-08,105,LEFT,4,ODD
2025-05-08,106,RIGHT,4,EVEN
2025-05-08,107,RIGHT,4,EVEN
2025-05-08,108,RIGHT,3,ODD
2025-05-08,109,RIGHT,4,EVEN
2025-05-08,110,LEFT,3,EVEN
2025-05-08,111,LEFT,4,ODD
2025-05-08,112,RIGHT,3,ODD
2025-05-08,113,RIGHT,3,ODD
2025-05-08,114,LEFT,3,EVEN
2025-05-08,115,RIGHT,3,ODD
2025-05-08,116,RIGHT,3,ODD
2025-05-08,117,RIGHT,4,EVEN
2025-05-08,118,RIGHT,3,ODD
2025-05-08,119,RIGHT,3,ODD
2025-05-08,120,RIGHT,3,ODD
2025-05-08,121,RIGHT,3,ODD
2025-05-08,122,RIGHT,3,ODD
2025-05-08,124,LEFT,4,ODD
2025-05-08,125,RIGHT,3,ODD
2025-05-08,126,LEFT,3,EVEN
2025-05-08,127,LEFT,4,ODD
2025-05-08,128,LEFT,4,ODD
2025-05-08,129,LEFT,4,ODD
2025-05-08,130,RIGHT,3,ODD
2025-05-08,131,RIGHT,3,ODD
2025-05-08,132,LEFT,3,EVEN
2025-05-08,133,RIGHT,4,EVEN
2025-05-08,134,RIGHT,3,ODD
2025-05-08,135,LEFT,3,EVEN
2025-05-08,136,RIGHT,3,ODD
2025-05-08,137,LEFT,4,ODD
2025-05-08,138,RIGHT,4,EVEN
2025-05-08,139,LEFT,4,ODD
2025-05-08,140,RIGHT,4,EVEN
2025-05-08,141,RIGHT,3,ODD
2025-05-08,142,RIGHT,3,ODD
2025-05-08,143,LEFT,4,ODD
2025-05-08,144,LEFT,4,ODD
2025-05-08,145,RIGHT,4,EVEN
2025-05-08,146,LEFT,3,EVEN
2025-05-08,147,LEFT,3,EVEN
2025-05-08,149,RIGHT,4,EVEN
2025-05-08,150,LEFT,4,ODD
2025-05-08,151,RIGHT,4,EVEN
2025-05-08,152,RIGHT,3,ODD
2025-05-08,153,RIGHT,3,ODD
2025-05-08,154,LEFT,3,EVEN
2025-05-08,155,RIGHT,3,ODD
2025-05-08,156,RIGHT,3,ODD
2025-05-08,157,LEFT,3,EVEN
2025-05-08,158,LEFT,3,EVEN
2025-05-08,159,LEFT,4,ODD
2025-05-08,160,RIGHT,3,ODD
2025-05-08,161,LEFT,3,EVEN
2025-05-08,162,RIGHT,3,ODD
2025-05-08,163,RIGHT,4,EVEN
2025-05-08,164,LEFT,4,ODD
2025-05-08,165,RIGHT,3,ODD
2025-05-08,166,LEFT,3,EVEN
2025-05-08,167,RIGHT,3,ODD
2025-05-08,168,RIGHT,4,EVEN
2025-05-08,169,RIGHT,3,ODD
2025-05-08,170,RIGHT,4,EVEN
2025-05-08,171,LEFT,3,EVEN
2025-05-08,172,RIGHT,3,ODD
2025-05-08,173,LEFT,3,EVEN
2025-05-08,174,RIGHT,3,ODD
2025-05-08,175,RIGHT,4,EVEN
2025-05-08,177,LEFT,3,EVEN
2025-05-08,178,RIGHT,4,EVEN
2025-05-08,179,LEFT,4,ODD
2025-05-08,180,RIGHT,4,EVEN
2025-05-08,181,LEFT,3,EVEN
2025-05-08,182,LEFT,4,ODD
2025-05-08,183,RIGHT,4,EVEN
2025-05-08,184,LEFT,3,EVEN
2025-05-08,185,LEFT,4,ODD
2025-05-08,186,RIGHT,3,ODD
2025-05-08,187,RIGHT,3,ODD
2025-05-08,188,LEFT,3,EVEN
2025-05-08,189,RIGHT,3,ODD
2025-05-08,190,LEFT,3,EVEN
2025-05-08,191,LEFT,4,ODD
2025-05-08,192,RIGHT,4,EVEN
2025-05-08,193,RIGHT,3,ODD
2025-05-08,194,RIGHT,3,ODD
2025-05-08,195,LEFT,4,ODD
2025-05-08,196,LEFT,4,ODD
2025-05-08,197,LEFT,4,ODD
2025-05-08,198,RIGHT,4,EVEN
2025-05-08,199,RIGHT,3,ODD
2025-05-08,200,LEFT,3,EVEN
2025-05-08,201,LEFT,4,ODD
2025-05-08,203,RIGHT,3,ODD
2025-05-08,204,LEFT,4,ODD
2025-05-08,205,LEFT,3,EVEN
2025-05-08,206,LEFT,4,ODD
2025-05-08,207,LEFT,4,ODD
2025-05-08,208,RIGHT,3,ODD
2025-05-08,209,RIGHT,4,EVEN
2025-05-08,210,RIGHT,4,EVEN
2025-05-08,211,RIGHT,3,ODD
2025-05-08,212,LEFT,4,ODD
2025-05-08,213,LEFT,3,EVEN
2025-05-08,214,RIGHT,4,EVEN
2025-05-08,215,LEFT,3,EVEN
2025-05-08,216,LEFT,3,EVEN
2025-05-08,217,LEFT,3,EVEN
2025-05-08,218,LEFT,4,ODD
2025-05-08,219,LEFT,3,EVEN
2025-05-08,220,RIGHT,3,ODD
2025-05-08,221,RIGHT,3,ODD
2025-05-08,222,RIGHT,4,EVEN
2025-05-08,223,RIGHT,4,EVEN
2025-05-08,224,LEFT,4,ODD
2025-05-08,225,LEFT,4,ODD
2025-05-08,226,LEFT,4,ODD
2025-05-08,227,LEFT,4,ODD
2025-05-08,228,RIGHT,3,ODD
2025-05-08,229,RIGHT,4,EVEN
2025-05-08,231,RIGHT,3,ODD
2025-05-08,232,RIGHT,3,ODD
2025-05-08,233,LEFT,4,ODD
2025-05-08,234,RIGHT,4,EVEN
2025-05-08,235,LEFT,4,ODD
2025-05-08,236,LEFT,3,EVEN
2025-05-08,237,LEFT,4,ODD
2025-05-08,238,RIGHT,4,EVEN
2025-05-08,239,RIGHT,4,EVEN
2025-05-08,240,LEFT,3,EVEN
2025-05-08,241,RIGHT,3,ODD
2025-05-08,242,LEFT,3,EVEN
2025-05-08,243,RIGHT,3,ODD
2025-05-08,244,RIGHT,4,EVEN
2025-05-08,245,LEFT,3,EVEN
2025-05-08,246,LEFT,4,ODD
2025-05-08,247,LEFT,4,ODD
2025-05-08,248,RIGHT,4,EVEN
2025-05-08,249,RIGHT,4,EVEN
2025-05-08,250,RIGHT,3,ODD
2025-05-08,251,RIGHT,3,ODD
2025-05-08,252,LEFT,4,ODD
2025-05-08,253,LEFT,3,EVEN
2025-05-08,254,LEFT,3,EVEN
2025-05-08,256,LEFT,3,EVEN
2025-05-08,257,LEFT,3,EVEN
2025-05-08,258,RIGHT,4,EVEN
2025-05-08,259,LEFT,4,ODD
2025-05-08,260,RIGHT,3,ODD
2025-05-08,261,LEFT,3,EVEN
2025-05-08,262,LEFT,4,ODD
2025-05-08,263,LEFT,4,ODD
2025-05-08,264,LEFT,3,EVEN
2025-05-08,265,LEFT,4,ODD
2025-05-08,266,LEFT,3,EVEN
2025-05-08,267,RIGHT,3,ODD
2025-05-08,268,RIGHT,3,ODD
2025-05-08,269,LEFT,3,EVEN
2025-05-08,270,LEFT,4,ODD
2025-05-08,271,RIGHT,4,EVEN
2025-05-08,272,RIGHT,4,EVEN
2025-05-08,273,LEFT,3,EVEN
2025-05-08,274,RIGHT,3,ODD
2025-05-08,275,LEFT,3,EVEN
2025-05-08,276,RIGHT,3,ODD
2025-05-08,277,LEFT,4,ODD
2025-05-08,278,RIGHT,3,ODD
2025-05-08,279,RIGHT,3,ODD
2025-05-08,280,RIGHT,3,ODD
2025-05-08,281,RIGHT,4,EVEN
2025-05-08,283,LEFT,4,ODD
2025-05-08,284,LEFT,3,EVEN
2025-05-08,285,RIGHT,3,ODD
2025-05-08,286,RIGHT,4,EVEN
2025-05-08,287,LEFT,4,ODD
2025-05-08,288,RIGHT,4,EVEN
2025-05-09,1,LEFT,4,ODD
2025-05-09,2,LEFT,3,EVEN
2025-05-09,3,RIGHT,3,ODD
2025-05-09,4,RIGHT,4,EVEN
2025-05-09,5,RIGHT,4,EVEN
2025-05-09,6,RIGHT,4,EVEN
2025-05-09,7,RIGHT,4,EVEN
2025-05-09,8,LEFT,4,ODD
2025-05-09,9,LEFT,4,ODD
2025-05-09,10,LEFT,3,EVEN
2025-05-09,11,LEFT,4,ODD
2025-05-09,12,RIGHT,4,EVEN
2025-05-09,13,RIGHT,4,EVEN
2025-05-09,14,LEFT,4,ODD
2025-05-09,16,RIGHT,4,EVEN
2025-05-09,17,LEFT,4,ODD
2025-05-09,18,LEFT,3,EVEN
2025-05-09,19,RIGHT,4,EVEN
2025-05-09,20,LEFT,4,ODD
2025-05-09,21,RIGHT,4,EVEN
2025-05-09,23,LEFT,4,ODD
2025-05-09,24,RIGHT,4,EVEN
2025-05-09,25,RIGHT,3,ODD
2025-05-09,26,RIGHT,3,ODD
2025-05-09,27,RIGHT,3,ODD
2025-05-09,28,RIGHT,4,EVEN
2025-05-09,29,RIGHT,3,ODD
2025-05-09,30,RIGHT,3,ODD
2025-05-09,31,LEFT,4,ODD
2025-05-09,32,RIGHT,3,ODD
2025-05-09,33,LEFT,3,EVEN
2025-05-09,34,LEFT,3,EVEN
2025-05-09,35,LEFT,4,ODD
2025-05-09,36,LEFT,3,EVEN
2025-05-09,37,RIGHT,3,ODD
2025-05-09,38,RIGHT,3,ODD
2025-05-09,39,LEFT,3,EVEN
2025-05-09,40,LEFT,3,EVEN
2025-05-09,41,RIGHT,3,ODD
2025-05-09,42,RIGHT,3,ODD
2025-05-09,43,RIGHT,4,EVEN
2025-05-09,44,LEFT,3,EVEN
2025-05-09,45,LEFT,3,EVEN
2025-05-09,46,LEFT,3,EVEN
2025-05-09,47,LEFT,4,ODD
2025-05-09,48,RIGHT,4,EVEN
2025-05-09,50,RIGHT,4,EVEN
2025-05-09,51,LEFT,4,ODD
2025-05-09,52,RIGHT,3,ODD
2025-05-09,53,RIGHT,4,EVEN
2025-05-09,54,RIGHT,3,ODD
2025-05-09,55,LEFT,3,EVEN
2025-05-09,56,RIGHT,4,EVEN
2025-05-09,57,RIGHT,3,ODD
2025-05-09,58,RIGHT,3,ODD
2025-05-09,59,LEFT,3,EVEN
2025-05-09,60,LEFT,3,EVEN
2025-05-09,61,RIGHT,4,EVEN
2025-05-09,62,RIGHT,4,EVEN
2025-05-09,63,LEFT,4,ODD
2025-05-09,64,LEFT,3,EVEN
2025-05-09,65,RIGHT,4,EVEN
2025-05-09,66,RIGHT,4,EVEN
2025-05-09,67,LEFT,3,EVEN
2025-05-09,68,RIGHT,4,EVEN
2025-05-09,69,RIGHT,4,EVEN
2025-05-09,70,RIGHT,3,ODD
2025-05-09,71,RIGHT,3,ODD
2025-05-09,73,LEFT,4,ODD
2025-05-09,74,RIGHT,4,EVEN
2025-05-09,75,RIGHT,4,EVEN
2025-05-09,76,RIGHT,4,EVEN
2025-05-09,77,RIGHT,3,ODD
2025-05-09,78,LEFT,4,ODD
2025-05-09,79,RIGHT,3,ODD
2025-05-09,80,RIGHT,3,ODD
2025-05-09,81,LEFT,4,ODD
2025-05-09,82,RIGHT,3,ODD
2025-05-09,83,LEFT,4,ODD
2025-05-09,84,LEFT,4,ODD
2025-05-09,85,RIGHT,4,EVEN
2025-05-09,86,RIGHT,4,EVEN
2025-05-09,87,LEFT,4,ODD
2025-05-09,88,LEFT,3,EVEN
2025-05-09,89,RIGHT,3,ODD
2025-05-09,90,RIGHT,3,ODD
2025-05-09,91,RIGHT,3,ODD
2025-05-09,92,LEFT,3,EVEN
2025-05-09,94,LEFT,4,ODD
2025-05-09,95,RIGHT,4,EVEN
2025-05-09,96,LEFT,4,ODD
2025-05-09,97,LEFT,4,ODD
2025-05-09,98,LEFT,4,ODD
2025-05-09,99,RIGHT,3,ODD
2025-05-09,100,RIGHT,4,EVEN
2025-05-09,101,RIGHT,4,EVEN
2025-05-09,102,LEFT,4,ODD
2025-05-09,103,LEFT,3,EVEN
2025-05-09,104,RIGHT,4,EVEN
2025-05-09,105,RIGHT,4,EVEN
2025-05-09,106,RIGHT,3,ODD
2025-05-09,107,LEFT,3,EVEN
2025-05-09,108,RIGHT,3,ODD
2025-05-09,109,RIGHT,4,EVEN
2025-05-09,110,RIGHT,3,ODD
2025-05-09,111,RIGHT,3,ODD
2025-05-09,112,LEFT,4,ODD
2025-05-09,113,LEFT,4,ODD
2025-05-09,114,LEFT,3,EVEN
2025-05-09,115,RIGHT,4,EVEN
2025-05-09,116,RIGHT,3,ODD
2025-05-09,118,RIGHT,4,EVEN
2025-05-09,119,RIGHT,4,EVEN
2025-05-09,120,LEFT,4,ODD
2025-05-09,121,LEFT,3,EVEN
2025-05-09,122,LEFT,4,ODD
2025-05-09,123,LEFT,3,EVEN
2025-05-09,124,LEFT,4,ODD
2025-05-09,125,RIGHT,4,EVEN
2025-05-09,126,LEFT,3,EVEN
2025-05-09,127,LEFT,3,EVEN
2025-05-09,128,LEFT,3,EVEN
2025-05-09,129,RIGHT,4,EVEN
2025-05-09,130,LEFT,4,ODD
2025-05-09,131,RIGHT,3,ODD
2025-05-09,132,LEFT,3,EVEN
2025-05-09,133,LEFT,4,ODD
2025-05-09,134,LEFT,4,ODD
2025-05-09,135,RIGHT,4,EVEN
2025-05-09,136,LEFT,4,ODD
2025-05-09,137,LEFT,3,EVEN
2025-05-09,138,LEFT,4,ODD
2025-05-09,139,LEFT,4,ODD
2025-05-09,140,LEFT,3,EVEN
2025-05-09,141,LEFT,4,ODD
2025-05-09,142,RIGHT,3,ODD
2025-05-09,144,LEFT,4,ODD
2025-05-09,145,RIGHT,4,EVEN
2025-05-09,146,RIGHT,4,EVEN
2025-05-09,147,LEFT,4,ODD
2025-05-09,148,LEFT,4,ODD
2025-05-09,149,LEFT,4,ODD
2025-05-09,150,LEFT,3,EVEN
2025-05-09,151,LEFT,3,EVEN
2025-05-09,152,RIGHT,3,ODD
2025-05-09,153,RIGHT,3,ODD
2025-05-09,154,LEFT,4,ODD
2025-05-09,155,LEFT,4,ODD
2025-05-09,156,LEFT,4,ODD
2025-05-09,157,RIGHT,4,EVEN
2025-05-09,158,LEFT,4,ODD
2025-05-09,159,RIGHT,3,ODD
2025-05-09,160,LEFT,3,EVEN
2025-05-09,161,LEFT,4,ODD
2025-05-09,162,RIGHT,4,EVEN
2025-05-09,164,RIGHT,4,EVEN
2025-05-09,165,RIGHT,3,ODD
2025-05-09,166,RIGHT,3,ODD
2025-05-09,167,RIGHT,3,ODD
2025-05-09,168,LEFT,4,ODD
2025-05-09,169,LEFT,3,EVEN
2025-05-09,170,LEFT,3,EVEN
